,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
0,The Shawshank Redemption,(1994),142 min,9.3,82        ,"2,802,907",$28.34M
1,The Godfather,(1972),175 min,9.2,100        ,"1,953,048",$134.97M
2,The Dark Knight,(2008),152 min,9.0,84        ,"2,784,581",$534.86M
3,Schindler's List,(1993),195 min,9.0,95        ,"1,409,161",$96.90M
4,12 Angry Men,(1957),96 min,9.0,97        ,"833,628",$4.36M
5,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,918,931",$377.85M
6,The Godfather Part II,(1974),202 min,9.0,90        ,"1,326,359",$57.30M
7,Pulp Fiction,(1994),154 min,8.9,95        ,"2,149,913",$107.93M
8,Fight Club,(1999),139 min,8.8,67        ,"2,237,111",$37.03M
9,Inception,(2010),148 min,8.8,74        ,"2,471,745",$292.58M
10,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,947,114",$315.54M
11,Forrest Gump,(1994),142 min,8.8,82        ,"2,181,551",$330.25M
12,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"1,731,612",$342.55M
13,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90        ,"790,305",$6.10M
14,Jai Bhim,(2021),164 min,8.8,****,"210,686",#220
15,777 Charlie,(2022),164 min,8.8,****,"36,841",%^%^%^
16,Spider-Man: Across the Spider-Verse,(2023),140 min,8.7,86        ,"267,690",#19
17,Interstellar,(2014),169 min,8.7,74        ,"1,993,403",$188.02M
18,Goodfellas,(1990),145 min,8.7,92        ,"1,216,502",$46.84M
19,The Matrix,(1999),136 min,8.7,73        ,"1,993,003",$171.48M
20,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"1,044,718",$112.00M
21,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,343,556",$290.48M
22,Rocketry: The Nambi Effect,(2022),157 min,8.7,****,"55,546",%^%^%^
23,Soorarai Pottru,(2020),153 min,8.7,****,"120,958",%^%^%^
