title,price,rating,reviews
"JBL Quantum 100P Console - Gaming Headset for Playstation (White),White/Blue, Medium",$24.95 ,4.3 out of 5 stars,37 ratings
"Bionik Mantis Attachable VR Headphones: Compatible with Playstation VR2, Adjustable Design, Connects Directly to PSVR, Hi-Fi Sound, Sleek Design/PS4/PS5",$51.00 ,3.7 out of 5 stars,19 ratings
"TALK WORKS Fast Charge USB-C Charger Cable for PS5 Controller - 10 Feet Long, Heavy-Duty Braided Type C Cord Charging Compatible with Sony Playstation 5 - Black-Blue (2 Pack)",$10.65 ,4.4 out of 5 stars,720 ratings
Sony Playstation PS4 1TB Black Console,$200.00 ,4.6 out of 5 stars,"1,221 ratings"
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",Page 1 of 1,4.6 out of 5 stars,325 ratings
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$237.86 ,4.5 out of 5 stars,"4,217 ratings"
Surge Playstation 4 Controller Phone Mount - Black - Playstation 4,$9.99 ,3.8 out of 5 stars,23 ratings
Among Us: Impostor Edition (PS4) - PlayStation 4,$32.15 ,4.1 out of 5 stars,34 ratings
"TALK WORKS Playstation 4 Controller Charging Cable Micro USB - 6' Long Braided Heavy Duty Fast Charger Cord for PS4 (Silver, Pack of 3) (14094)",$10.06 ,4.7 out of 5 stars,26 ratings
Grand Theft Auto V Premium Edition Playstation 4,$19.93 ,4.7 out of 5 stars,"10,237 ratings"
"TALK WORKS Playstation 4 Charging Cable - 6' Nylon Braided Micro USB Charger Cord, Heavy Duty Fast Charge for PS4 (Gold, Pack of 2) (14092)",$9.98 ,4.9 out of 5 stars,29 ratings
Firefighting Simulator - The Squad - PlayStation 4,$29.99 ,Previous page,
Skin Ps4 SLIM - LIONEL MESSI FC BARCELLONA ULTRAS - limited edition DECAL COVER ADESIVA Playstation 4 Slim SONY BUNDLE,Page 1 of 1,3.6 out of 5 stars,23 ratings
Astronite - PlayStation 4,$15.99 ,5.0 out of 5 stars,1 rating
Sonic Frontiers - PlayStation 4,$38.95 ,4.7 out of 5 stars,762 ratings
The Smurfs: Mission Vileaf - Smurftastic Edition (PS4) - PlayStation 4,$19.39 ,4.5 out of 5 stars,213 ratings
Sony PlayStation 4 Power Supply Replacement ADP-200ER N14-200P1A for PS4 1215a 1215b CUH-1200 12XX 500GB (4 Pin),Page 1 of 1,4.3 out of 5 stars,124 ratings
PlayStation 4 Move Controller & Camera Bundle (Bulk Packaging),$147.04 ,4.0 out of 5 stars,167 ratings
WWE 2K20 - PlayStation 4,$29.99 ,4.4 out of 5 stars,"4,507 ratings"
